vaccine_time,vaccine_amount,lambda_v1,lambda_v2,second_dose_time,vaccine_type,dose_type,effect_time
5/24/21,[0],[0.8],[0.9],[21],[1],[2],14
5/25/21,[0.005651852],[0.8],[0.9],[21],[1],[2],14
5/26/21,[0.003005558],[0.8],[0.9],[21],[1],[2],14
5/27/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
5/28/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
5/29/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
5/30/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
5/31/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/1/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/2/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/3/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/4/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/5/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/6/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/7/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/8/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/9/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/10/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/11/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/12/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/13/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/14/21,[0.001829045],[0.8],[0.9],[21],[1],[2],14
6/15/21,[0.002487645],[0.8],[0.9],[21],[1],[2],14
6/16/21,[0.00259879],[0.8],[0.9],[21],[1],[2],14
6/17/21,[0.002108088],[0.8],[0.9],[21],[1],[2],14
6/18/21,[0.001652896],[0.8],[0.9],[21],[1],[2],14
6/19/21,[0.001215228],[0.8],[0.9],[21],[1],[2],14
6/20/21,[0.001444901],[0.8],[0.9],[21],[1],[2],14
6/21/21,[0.000788169],[0.8],[0.9],[21],[1],[2],14
6/22/21,[0.000897009],[0.8],[0.9],[21],[1],[2],14
6/23/21,[0.000909462],[0.8],[0.9],[21],[1],[2],14
6/24/21,[0.001190786],[0.8],[0.9],[21],[1],[2],14
6/25/21,[0.001188941],[0.8],[0.9],[21],[1],[2],14
6/26/21,[0.001434754],[0.8],[0.9],[21],[1],[2],14
6/27/21,[0.001287174],[0.8],[0.9],[21],[1],[2],14
6/28/21,[0.000879023],[0.8],[0.9],[21],[1],[2],14
6/29/21,[0.001097165],[0.8],[0.9],[21],[1],[2],14
6/30/21,[0],[0.8],[0.9],[21],[1],[2],14
7/1/21,[0.002486722],[0.8],[0.9],[21],[1],[2],14
7/2/21,[0],[0.8],[0.9],[21],[1],[2],14
