date,total_deaths,hospital_deaths
2/2/21 0:00,8,4
2/3/21 0:00,15,9
2/4/21 0:00,21,8
2/5/21 0:00,6,3
2/6/21 0:00,8,6
2/7/21 0:00,5,3
2/8/21 0:00,8,7
2/9/21 0:00,4,2
2/10/21 0:00,16,9
2/11/21 0:00,11,7
2/12/21 0:00,4,2
2/13/21 0:00,10,4
2/14/21 0:00,7,4
2/15/21 0:00,4,1
2/16/21 0:00,5,2
2/17/21 0:00,10,4
2/18/21 0:00,7,3
2/19/21 0:00,6,4
2/20/21 0:00,14,8
2/21/21 0:00,5,4
2/22/21 0:00,9,5
2/23/21 0:00,7,7
2/24/21 0:00,1,1
2/25/21 0:00,5,3
2/26/21 0:00,10,2
2/27/21 0:00,7,4
2/28/21 0:00,3,3
3/1/21 0:00,6,6
3/2/21 0:00,3,0
3/3/21 0:00,5,1
3/4/21 0:00,3,3
3/5/21 0:00,4,1
3/6/21 0:00,3,0
3/7/21 0:00,2,2
3/8/21 0:00,4,1
3/9/21 0:00,1,0
3/10/21 0:00,6,2
3/11/21 0:00,5,2
3/12/21 0:00,3,2
3/13/21 0:00,3,1
3/14/21 0:00,1,0
3/15/21 0:00,4,0
3/16/21 0:00,4,0
3/17/21 0:00,3,2
3/18/21 0:00,1,1
3/19/21 0:00,2,1
3/20/21 0:00,5,1
3/21/21 0:00,2,1
3/22/21 0:00,3,2
3/23/21 0:00,2,1
3/24/21 0:00,2,2
3/25/21 0:00,2,2
3/26/21 0:00,5,5
3/27/21 0:00,1,1
3/28/21 0:00,2,2
3/29/21 0:00,2,1
3/30/21 0:00,2,0
3/31/21 0:00,2,2
4/1/21 0:00,4,2
4/2/21 0:00,2,2
4/3/21 0:00,2,2
4/4/21 0:00,3,3
4/5/21 0:00,1,1
4/6/21 0:00,1,0
4/7/21 0:00,4,2
4/8/21 0:00,1,1
4/9/21 0:00,4,4
4/10/21 0:00,0,0
4/11/21 0:00,1,1
4/12/21 0:00,1,1
4/13/21 0:00,0,0
4/14/21 0:00,1,0
4/15/21 0:00,1,1
4/16/21 0:00,2,1
4/17/21 0:00,2,1
4/18/21 0:00,3,3
4/19/21 0:00,1,1
4/20/21 0:00,1,0
4/21/21 0:00,0,0
4/22/21 0:00,2,0
4/23/21 0:00,2,0
4/24/21 0:00,2,2
4/25/21 0:00,3,1
4/26/21 0:00,0,0
4/27/21 0:00,1,0
4/28/21 0:00,2,1
4/29/21 0:00,3,0
4/30/21 0:00,5,2
5/1/21 0:00,1,1
5/2/21 0:00,3,1
5/3/21 0:00,2,1
5/4/21 0:00,2,0
5/5/21 0:00,3,2
5/6/21 0:00,1,0
5/7/21 0:00,0,0
5/8/21 0:00,1,0
5/9/21 0:00,1,0
5/10/21 0:00,2,1
5/11/21 0:00,0,0
5/12/21 0:00,1,1
5/13/21 0:00,2,0
5/14/21 0:00,2,1
5/15/21 0:00,1,1
5/16/21 0:00,2,0
5/17/21 0:00,4,2
5/18/21 0:00,2,0
5/19/21 0:00,1,1
5/20/21 0:00,1,0
5/21/21 0:00,1,1
5/22/21 0:00,1,1
5/23/21 0:00,1,1
5/24/21 0:00,1,0
5/25/21 0:00,2,1
5/26/21 0:00,2,1
5/27/21 0:00,2,0
5/28/21 0:00,1,1
5/29/21 0:00,1,1
5/30/21 0:00,5,5
5/31/21 0:00,0,0
6/1/21 0:00,2,2
6/2/21 0:00,0,0
6/3/21 0:00,0,0
6/4/21 0:00,2,1
6/5/21 0:00,0,0
6/6/21 0:00,1,1
6/7/21 0:00,3,3
6/8/21 0:00,1,1
6/9/21 0:00,0,0
6/10/21 0:00,1,1
6/11/21 0:00,0,0
6/12/21 0:00,0,0
6/13/21 0:00,1,1
6/14/21 0:00,1,1
6/15/21 0:00,1,0
6/16/21 0:00,1,1
6/17/21 0:00,3,2
6/18/21 0:00,0,0
6/19/21 0:00,2,1
6/20/21 0:00,2,2
6/21/21 0:00,0,0
6/22/21 0:00,0,0
6/23/21 0:00,0,0
