,date,admits
200,9/4/20,21
201,9/5/20,22
202,9/6/20,18
203,9/7/20,15
204,9/8/20,14
205,9/9/20,9
206,9/10/20,21
207,9/11/20,18
208,9/12/20,21
209,9/13/20,10
210,9/14/20,11
211,9/15/20,11
212,9/16/20,5
213,9/17/20,17
214,9/18/20,20
215,9/19/20,9
216,9/20/20,15
217,9/21/20,23
218,9/22/20,17
219,9/23/20,9
220,9/24/20,20
221,9/25/20,13
222,9/26/20,14
223,9/27/20,14
224,9/28/20,4
225,9/29/20,9
226,9/30/20,17
227,10/1/20,15
228,10/2/20,14
229,10/3/20,12
230,10/4/20,13
231,10/5/20,9
232,10/6/20,17
233,10/7/20,12
234,10/8/20,15
235,10/9/20,25
236,10/10/20,10
237,10/11/20,14
238,10/12/20,10
239,10/13/20,17
240,10/14/20,11
241,10/15/20,25
242,10/16/20,26
243,10/17/20,16
244,10/18/20,19
245,10/19/20,20
246,10/20/20,26
247,10/21/20,31
248,10/22/20,20
249,10/23/20,21
250,10/24/20,18
251,10/25/20,20
252,10/26/20,11
253,10/27/20,13
254,10/28/20,28
255,10/29/20,10
256,10/30/20,25
257,10/31/20,10
258,11/1/20,25
259,11/2/20,19
260,11/3/20,24
261,11/4/20,27
262,11/5/20,26
263,11/6/20,24
264,11/7/20,29
265,11/8/20,26
266,11/9/20,24
267,11/10/20,24
268,11/11/20,34
269,11/12/20,33
270,11/13/20,26
271,11/14/20,38
272,11/15/20,32
273,11/16/20,25
274,11/17/20,39
275,11/18/20,32
276,11/19/20,43
277,11/20/20,37
278,11/21/20,25
279,11/22/20,32
280,11/23/20,37
281,11/24/20,57
282,11/25/20,29
283,11/26/20,14
284,11/27/20,37
285,11/28/20,26
286,11/29/20,24
287,11/30/20,35
288,12/1/20,45
289,12/2/20,29
290,12/3/20,34
291,12/4/20,31
292,12/5/20,31
293,12/6/20,32
294,12/7/20,43
295,12/8/20,42
296,12/9/20,47
297,12/10/20,54
298,12/11/20,52
299,12/12/20,58
300,12/13/20,34
301,12/14/20,40
302,12/15/20,40
303,12/16/20,55
304,12/17/20,68
305,12/18/20,53
306,12/19/20,47
307,12/20/20,32
308,12/21/20,56
309,12/22/20,70
310,12/23/20,77
311,12/24/20,50
312,12/25/20,62
313,12/26/20,52
314,12/27/20,67
315,12/28/20,68
316,12/29/20,68
317,12/30/20,79
318,12/31/20,81
319,1/1/21,70
320,1/2/21,71
321,1/3/21,83
322,1/4/21,84
323,1/5/21,115
324,1/6/21,89
325,1/7/21,89
326,1/8/21,89
327,1/9/21,107
328,1/10/21,66
329,1/11/21,54
330,1/12/21,117
331,1/13/21,77
332,1/14/21,103
333,1/15/21,91
334,1/16/21,89
335,1/17/21,63
336,1/18/21,78
337,1/19/21,114
338,1/20/21,67
339,1/21/21,85
340,1/22/21,82
341,1/23/21,74
342,1/24/21,80
343,1/25/21,68
344,1/26/21,84
345,1/27/21,87
346,1/28/21,88
347,1/29/21,54
348,1/30/21,65
349,1/31/21,60
350,2/1/21,41
351,2/2/21,66
352,2/3/21,64
353,2/4/21,65
354,2/5/21,60
355,2/6/21,46
356,2/7/21,42
357,2/8/21,44
358,2/9/21,52
359,2/10/21,43
360,2/11/21,50
361,2/12/21,49
362,2/13/21,45
363,2/14/21,35
364,2/15/21,16
365,2/16/21,18
366,2/17/21,33
367,2/18/21,38
368,2/19/21,32
369,2/20/21,40
370,2/21/21,35
371,2/22/21,34
372,2/23/21,36
373,2/24/21,35
374,2/25/21,35
375,2/26/21,41
376,2/27/21,25
377,2/28/21,19
378,3/1/21,15
379,3/2/21,30
380,3/3/21,32
381,3/4/21,26
382,3/5/21,35
383,3/6/21,26
384,3/7/21,25
385,3/8/21,31
386,3/9/21,24
387,3/10/21,21
388,3/11/21,17
389,3/12/21,22
390,3/13/21,21
391,3/14/21,18
392,3/15/21,16
393,3/16/21,17
394,3/17/21,34
395,3/18/21,26
396,3/19/21,18
397,3/20/21,23
398,3/21/21,17
399,3/22/21,19
400,3/23/21,20
401,3/24/21,31
402,3/25/21,20
403,3/26/21,12
404,3/27/21,15
405,3/28/21,15
406,3/29/21,19
407,3/30/21,15
408,3/31/21,26
409,4/1/21,13
410,4/2/21,24
411,4/3/21,26
412,4/4/21,10
413,4/5/21,17
414,4/6/21,19
415,4/7/21,23
416,4/8/21,20
417,4/9/21,10
418,4/10/21,20
419,4/11/21,18
420,4/12/21,18
421,4/13/21,11
422,4/14/21,25
423,4/15/21,16
424,4/16/21,37
425,4/17/21,30
426,4/18/21,20
427,4/19/21,12
428,4/20/21,18
429,4/21/21,25
430,4/22/21,15
431,4/23/21,25
432,4/24/21,20
433,4/25/21,7
434,4/26/21,24
435,4/27/21,12
436,4/28/21,27
437,4/29/21,19
438,4/30/21,23
439,5/1/21,17
440,5/2/21,12
441,5/3/21,11
442,5/4/21,13
443,5/5/21,19
444,5/6/21,15
445,5/7/21,17
446,5/8/21,15
447,5/9/21,12
448,5/10/21,21
449,5/11/21,20
450,5/12/21,17
451,5/13/21,20
452,5/14/21,16
453,5/15/21,13
454,5/16/21,4
455,5/17/21,7
456,5/18/21,12
457,5/19/21,19
458,5/20/21,20
459,5/21/21,14
460,5/22/21,14
461,5/23/21,13
462,5/24/21,14
463,5/25/21,16
464,5/26/21,12
465,5/27/21,11
466,5/28/21,19
467,5/29/21,13
468,5/30/21,6
469,5/31/21,7
470,6/1/21,16
471,6/2/21,6
472,6/3/21,12
473,6/4/21,13
474,6/5/21,9
475,6/6/21,8
476,6/7/21,10
477,6/8/21,14
478,6/9/21,11
479,6/10/21,13
480,6/11/21,11
481,6/12/21,11
482,6/13/21,6
483,6/14/21,2
484,6/15/21,9
485,6/16/21,6
486,6/17/21,7
487,6/18/21,9
488,6/19/21,7
489,6/20/21,10
490,6/21/21,7
491,6/22/21,13
492,6/23/21,9
493,6/24/21,5
494,6/25/21,14
495,6/26/21,4
496,6/27/21,7
497,6/28/21,8
498,6/29/21,9
499,6/30/21,7
500,7/1/21,8
501,7/2/21,9
502,7/3/21,18
503,7/4/21,5
504,7/5/21,19
505,7/6/21,14
506,7/7/21,24
507,7/8/21,11
508,7/9/21,13
509,7/10/21,20
510,7/11/21,14
511,7/12/21,27
512,7/13/21,24
513,7/14/21,29
514,7/15/21,25
515,7/16/21,38
516,7/17/21,35
517,7/18/21,24
518,7/19/21,38
519,7/20/21,27
520,7/21/21,41
521,7/22/21,39
522,7/23/21,37
523,7/24/21,36
524,7/25/21,41
525,7/26/21,39
526,7/27/21,60
527,7/28/21,66
528,7/29/21,53
529,7/30/21,54
530,7/31/21,70
531,8/1/21,63
532,8/2/21,62
533,8/3/21,76
534,8/4/21,91
535,8/5/21,78
536,8/6/21,109
537,8/7/21,77
538,8/8/21,73
539,8/9/21,74
540,8/10/21,81
541,8/11/21,93
542,8/12/21,74
543,8/13/21,79
544,8/14/21,88
545,8/15/21,53
546,8/16/21,64
547,8/17/21,91
548,8/18/21,82
549,8/19/21,79
550,8/20/21,86
551,8/21/21,84
552,8/22/21,74
553,8/23/21,64
554,8/24/21,78
555,8/25/21,86
556,8/26/21,71
557,8/27/21,80
558,8/28/21,89
559,8/29/21,48
560,8/30/21,55
561,8/31/21,63
562,9/1/21,69
563,9/2/21,71
564,9/3/21,69
565,9/4/21,40
566,9/5/21,54
567,9/6/21,61
568,9/7/21,50
569,9/8/21,57
570,9/9/21,67
571,9/10/21,53
572,9/11/21,57
573,9/12/21,41
574,9/13/21,57
575,9/14/21,68
576,9/15/21,47
577,9/16/21,62
578,9/17/21,34
578,9/18/21,60
578,9/19/21,45
578,9/20/21,45
578,9/21/21,47
578,9/22/21,33
578,9/23/21,41
578,9/24/21,38
579,9/25/21,33
580,9/26/21,20
581,9/27/21,25
582,9/28/21,33
583,9/29/21,33
584,9/30/21,26
585,10/1/21,35
586,10/2/21,25
587,10/3/21,19
588,10/4/21,22
589,10/5/21,14
590,10/6/21,28
591,10/7/21,24
592,10/8/21,17
593,10/9/21,26
594,10/10/21,11
595,10/11/21,16
596,10/12/21,19
597,10/13/21,21
598,10/14/21,24
599,10/15/21,23
600,10/16/21,10
601,10/17/21,15
602,10/18/21,12
603,10/19/21,17
604,10/20/21,22
605,10/21/21,16
606,10/22/21,9
607,10/23/21,18
608,10/24/21,15
609,10/25/21,11
610,10/26/21,8
611,10/27/21,19
612,10/28/21,16
613,10/29/21,9
614,10/30/21,18
615,10/31/21,15
616,11/1/21,2
617,11/2/21,8
618,11/3/21,17
619,11/4/21,18
620,11/5/21,17
621,11/6/21,10
622,11/7/21,13
623,11/8/21,6
624,11/9/21,19
625,11/10/21,14
626,11/11/21,16
627,11/12/21,16
628,11/13/21,16
629,11/14/21,12
630,11/15/21,7
631,11/16/21,9
632,11/17/21,15
633,11/18/21,15
634,11/19/21,15
635,11/20/21,12
636,11/21/21,7
637,11/22/21,11
638,11/23/21,17
639,11/24/21,15
640,11/25/21,13
641,11/26/21,7
642,11/27/21,12
643,11/28/21,16
644,11/29/21,9
645,11/30/21,13
646,12/1/21,11
647,12/2/21,25
648,12/3/21,3
649,12/4/21,12
650,12/5/21,13
651,12/6/21,17
652,12/7/21,10
653,12/8/21,15
654,12/9/21,17
655,12/10/21,19
656,12/11/21,22
657,12/12/21,21
658,12/13/21,15
659,12/14/21,13
660,12/15/21,18
661,12/16/21,17
662,12/17/21,14
663,12/18/21,18
664,12/19/21,19
665,12/20/21,9
666,12/21/21,11
667,12/22/21,24
668,12/23/21,36
669,12/24/21,30
670,12/25/21,31
671,12/26/21,31
672,12/27/21,36
673,12/28/21,64
674,12/29/21,70
675,12/30/21,54
676,12/31/21,68
677,1/1/22,81
678,1/2/22,64
679,1/3/22,59
